🅾廣東🅾,#genre#
阳江公共,https://live.yjtvw.com:8081/live/smil:yjtv2.smil/playlist.m3u8
阳江新闻,https://live.yjtvw.com:8081/live/smil:yjtv1.smil/playlist.m3u8
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
清远综合,http://hls.wiseqx.com/live/qxzh.m3u8
清远公共,http://hls.wiseqx.com/live/qxgg.m3u8
潮南电视,https://www.nettvplus.live/hls/itouch.php?id=2444
廉江电视,https://www.nettvplus.live/hls/itouch.php?id=2445
化州综合,https://www.nettvplus.live/hls/itouch.php?id=2440
化州公共,https://www.nettvplus.live/hls/itouch.php?id=2468
鹤山综合,https://www.nettvplus.live/hls/itouch.php?id=2441
工布江达,https://www.nettvplus.live/hls/itouch.php?id=2439
现代教育,https://www.nettvplus.live/hls/itouch.php?id=2436
惠东综合,https://www.nettvplus.live/hls/itouch.php?id=2443
英德综合,https://www.nettvplus.live/hls/itouch.php?id=2447
清新综合,https://www.nettvplus.live/hls/itouch.php?id=2448
饶平电视,https://www.nettvplus.live/hls/itouch.php?id=2454
紫金综合,https://www.nettvplus.live/hls/itouch.php?id=2452
徐闻综合,https://www.nettvplus.live/hls/itouch.php?id=2474
信宜综合,https://www.nettvplus.live/hls/itouch.php?id=2471
信宜二套,https://www.nettvplus.live/hls/itouch.php?id=2472
陆河综合,https://www.nettvplus.live/hls/itouch.php?id=2465
怀集综合,https://www.nettvplus.live/hls/itouch.php?id=2462
遂溪综合,https://www.nettvplus.live/hls/itouch.php?id=2488
阳西综合,https://www.nettvplus.live/hls/itouch.php?id=2476
阳西公共,https://www.nettvplus.live/hls/itouch.php?id=2477
雷州综合,https://www.nettvplus.live/hls/itouch.php?id=2482
连州综合,https://www.nettvplus.live/hls/itouch.php?id=2455
连州视讯,https://www.nettvplus.live/hls/itouch.php?id=2456
阳春综合,https://www.nettvplus.live/hls/itouch.php?id=2458
佛冈综合,https://www.nettvplus.live/hls/itouch.php?id=2460
广东移动,https://www.nettvplus.live/hls/itouch.php?id=2463
乳源电视台,https://www.nettvplus.live/hls/itouch.php?id=2469
惠阳综合,https://www.nettvplus.live/hls/itouch.php?id=2470
台山综合,https://www.nettvplus.live/hls/itouch.php?id=2479
广东珠江,https://www.nettvplus.live/hls/itouch.php?id=1183
南方卫视,https://www.nettvplus.live/hls/itouch.php?id=1197
广东新闻,https://www.nettvplus.live/hls/itouch.php?id=1186
广东公共,https://www.nettvplus.live/hls/itouch.php?id=1185
广东卫视,https://www.nettvplus.live/hls/itouch.php?id=1182
广东科教,https://www.nettvplus.live/hls/itouch.php?id=1196
广东体育,https://www.nettvplus.live/hls/itouch.php?id=1184
广东少儿,https://www.nettvplus.live/hls/itouch.php?id=1200
广东影视,https://www.nettvplus.live/hls/itouch.php?id=1199
嘉佳卡通,https://www.nettvplus.live/hls/itouch.php?id=1187
广东房产,https://www.nettvplus.live/hls/itouch.php?id=1192
广东国际,https://www.nettvplus.live/hls/itouch.php?id=1191
南方购物,https://www.nettvplus.live/hls/itouch.php?id=2393
广宁电台,https://www.nettvplus.live/hls/itouch.php?id=2430
高尔夫球,https://www.nettvplus.live/hls/itouch.php?id=2392
广东综艺,https://www.nettvplus.live/hls/itouch.php?id=2464
海丰电台,https://www.nettvplus.live/hls/itouch.php?id=2413
汕尾综合,https://www.nettvplus.live/hls/itouch.php?id=1261
珠海综合,https://www.nettvplus.live/hls/itouch.php?id=2397
韶关综合,https://www.nettvplus.live/hls/itouch.php?id=2386
高要电台,https://www.nettvplus.live/hls/itouch.php?id=2467
肇庆综合,https://www.nettvplus.live/hls/itouch.php?id=1232
广东综艺,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzy    
广东综艺,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzy
广东综艺,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=zypd
广东影视,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdys 
广东影视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdys
广东影视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=tvs4
广东少儿,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdse 
广东少儿,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdse
广东少儿,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=tvs5
广东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdws  
广东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdws
广东卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=gdws
广东珠江,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzj  
广东珠江,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzj
广东珠江,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=zjpd
广东公共,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdgg 
广东公共,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdgg
广东公共,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=ggpd
广东新闻,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdxw   
广东新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdxw
广东新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=xwpd
广东体育,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdty  
广东国际,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdgj 
广东国际,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdgj
广东国际,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=gjpd
广东房产,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdfc
广东移动,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdyd  
广东移动,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdyd
广东移动,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=ydpd
经济科教,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjjkj  
经济科教,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjjkj
经济科技,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=tvs1
现代教育,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=xdjy 
现代教育,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=xdjy
南方卫视,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=nfws 
南方卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=nfws
南方卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=tvs2
嘉佳卡通,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=jjkt 
嘉佳卡通,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=jjkt
嘉佳卡通,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=jjkt
广州新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzxw
广州新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzjs
广州影视,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzys
广州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzzh
广州法治,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzfz
广州生活,http://cdn.chxjon.cn/iptv/QQ582185381/gdgz.php?id=gzsh
深圳卫视,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szws   
深圳卫视,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=szws 
深圳都市,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szds    
深圳电视,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szdsj    
深圳财经,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szcjsh    
深圳娱乐,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szyl    
深圳少儿,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szse    
深圳公共,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szgg    
深圳国际,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szgj    
深圳移动,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szyd    
深圳生活,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szdv    
深圳购物,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=szyhgw  
珠海一套,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzh1  
珠海一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzh1
珠海一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=zhzh
东莞一套,http://cdn.chxjon.cn/iptv/QQ582185381/gddg.php?id=4
东莞二套,http://cdn.chxjon.cn/iptv/QQ582185381/gddg.php?id=5
潮州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdcz.php?id=11
潮州综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdcz1  
潮州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdcz1
潮州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=czzh
潮州公共,http://cdn.chxjon.cn/iptv/QQ582185381/gdcz.php?id=12 
湛江综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzj1  
湛江综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzj1
湛江综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=zjzh
江门综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjm1  
江门综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjm1
江门综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=jmzh
肇庆综合,http://cdn.chxjon.cn/iptv/QQ582185381/qky.php?id=gdzq1
肇庆综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzq1   
肇庆公共,http://cdn.chxjon.cn/iptv/QQ582185381/qky.php?id=gdzq2 
揭阳综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjy1 
揭阳综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjy1 
揭阳综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=jyzh
汕尾一套,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdsw1 
汕尾一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdsw1
汕尾一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=swzh
韶关综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdsg1  
韶关综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdsg1
高尔夫,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdgef  
高尔夫,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdgef
高尔夫,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=grfpd
南方购物,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=nfgw  
南方购物,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=nfgw
南方购物,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=nfgw
惠州一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdhz.php?id=1
惠州一套,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdhz1   
惠州一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdhz1
惠州一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=hzzh
惠州二套,http://cdn.chxjon.cn/iptv/QQ582185381/gdhz.php?id=2
惠东综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdhzhd  
惠东综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdhzhd
惠阳综合,http://cdn.chxjon.cn/iptv/QQ582185381/qky.php?id=gdhzhy
惠阳综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=huiyang  
开平综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjmkp1  
开平综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjmkp1
开平生活,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjmkp2 
开平生活,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjmkp2
四会新闻,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzqsh1  
四会新闻,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzqsh1
四会文艺,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzqsh2  
四会文艺,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzqsh2
海丰台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdswhf   
海丰台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdswhf
广宁综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzqgn1    
广宁综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzqgn1
广宁生活,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzqgn2  
广宁生活,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzqgn2
工布江达,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gbjd    
工布江达,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gbjd
化州综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=huazhou1  
化州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=huazhou1
鹤山综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=heshan    
潮南一套,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdstcn1   
潮南一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdstcn1
雷州台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjlz 
雷州台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzjlz
雷州电台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjlzr    
徐闻台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjxw    
徐闻台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzjxw
徐闻电台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjxwr  
遂溪台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjsx    
遂溪台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdzjsx
遂溪电台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdzjsxr
英德综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdqyyd1 
英德综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdqyyd1
清新综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdqyqx1 
清新综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdqyqx1
普宁台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdjypn   
普宁台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdjypn
紫金台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdhyzj    
紫金台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdhyzj
连州综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdqylz1 
连州综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdqylz1
连州视讯,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdqylz2   
连州视讯,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdqylz2
阳春综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdyjyc1  
阳春综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdyjyc1
佛冈综合,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdqyfg   
佛冈综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdqyfg
乳源台,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=ruyuan   
乳源台,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=ruyuan
陆河一套,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=gdswlh    
陆河一套,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=gdswlh
化州公共,http://cdn.chxjon.cn/iptv/QQ582185381/itouch.php?id=huazhou2   
化州公共,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv1.php?id=huazhou2
河源综合,http://cdn.chxjon.cn/iptv/QQ582185381/gdhy.php?id=1
河源公共,http://cdn.chxjon.cn/iptv/QQ582185381/gdhy.php?id=2
影视推荐,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=stzh
影视推荐,http://cdn.chxjon.cn/iptv/QQ582185381/gdtv2.php?id=mmzh
深圳电视剧频道,http://player.ioioz.com/1786/gd/szm3u8.php?id=3
深圳卫视,http://player.ioioz.com/1786/gd/szm3u8.php?id=1
深圳都市频道,http://player.ioioz.com/1786/gd/szm3u8.php?id=2
深圳公共频道,http://player.ioioz.com/1786/gd/szm3u8.php?id=4
深圳财经生活,http://player.ioioz.com/1786/gd/szm3u8.php?id=5
深圳娱乐频道,http://player.ioioz.com/1786/gd/szm3u8.php?id=6
深圳少儿频道,http://player.ioioz.com/1786/gd/szm3u8.php?id=7
深圳移动电视,http://player.ioioz.com/1786/gd/szm3u8.php?id=8
深圳DV生活,http://player.ioioz.com/1786/gd/szm3u8.php?id=10
🅾4K🅾,#genre#
BesTV4K,http://117.148.187.46/PLTV/88888888/224/3221226718/index.m3u8
BesTV4K,http://117.148.187.46/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229311/01.m3u8?fmt=ts2hls
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8
纯享4K,http://39.135.138.59:18890/PLTV/88888910/224/3221225786/index.m3u8
爱上4K,http://39.134.24.220/PLTV/88888888/224/3221226005/index.m3u8
CCTV4K,http://39.134.176.148/PLTV/88888888/224/3221226758/index.m3u8
欢笑剧场,http://39.134.39.37/PLTV/88888888/224/3221226318/index.m3u8
IPTV超清,http://otttv.bj.chinamobile.com/TVOD/88888888/224/3221226550/1.m3u8
纯享4K,http://183.207.249.205/ott.js.chinamobile.com/PLTV/3/224/3221227506/index.m3u8
SiTV欢笑剧场 12M2160,http://223.110.243.153/ott.js.chinamobile.com/PLTV/3/224/3221227715/index.m3u8
4K花园生活 24M2160,http://183.207.248.236/ott.js.chinamobile.com/PLTV/3/224/3221227746/index.m3u8
4K花园娱乐 24M2160,http://223.110.243.163/ott.js.chinamobile.com/PLTV/3/224/3221227749/index.m3u8
4K花园影视 24M2160,http://183.207.248.169/ott.js.chinamobile.com/PLTV/3/224/3221227813/index.m3u8
凤凰资讯,http://223.110.236.8/ott.js.chinamobile.com/PLTV/3/224/3221228016/index.m3u8
动物高清,http://112.17.40.140/PLTV/88888888/224/3221226695/index.m3u8
欢笑剧场4K,http://39.134.39.38/PLTV/88888888/224/3221226203/index.m3u8 
都市剧场F,http://112.17.40.140/PLTV/88888888/224/3221226825/index.m3u8 
Y + 剧场,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221230226/index.m3u8 
SiTV动漫秀场,http://39.134.39.39/PLTV/88888888/224/3221226197/index.m3u8 
SiTV劲爆体育,http://39.134.39.39/PLTV/88888888/224/3221226170/index.m3u8 
SiTV极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226195/index.m3u8 
SiTV极速汽车,http://39.134.39.39/PLTV/88888888/224/3221226310/index.m3u8 
SiTV欢笑剧场,http://39.134.39.39/PLTV/88888888/224/3221226203/index.m3u8
澳门资讯,http://61.244.22.5/ch5/info_ch5.live/master.m3u8 
澳门奥视,http://61.244.22.5/ch1/ch1.live/playelist.m3u8 
澳门葡语,http://61.244.22.5/ch2/ch2.live/chunklist_w1632175875.m3u8 
澳视综艺,http://61.244.22.5/ch6/_definst_/hd_ch6.live/playlist.m3u8 
🅾秒開🅾,#genre#
J2,http://v3948069e.live.126.net/live/us01/hk20200114tvbj2.flv
翡翠,http://v3948069e.live.126.net/live/us01/hk20200114feicui.flv
明珠,http://v3948069e.live.126.net/live/us01/hk20200114mingzhu.flv
星河,http://v3948069e.live.126.net/live/us01/tw20200114tvbxinghe.flv
18台,http://v3948069e.live.126.net/live/us01/hk20200114yx18t.flv
ViUtv,http://v3948069e.live.126.net/live/us01/hk20200114viutv.flv
